"region","mean_value_mean","mean_cattle_mean","data_uncertainty_lower","data_uncertainty_upper","data_uncertainty_width","model_uncertainty_lower","model_uncertainty_upper","model_uncertainty_width","uncertainty_ratio"
"Wenago",0.256,0,0,0,0,0,0,0,NA
"Wenbera",0.418,7633,6806,8597,1791,7365,7902,537,3.34
"Wenchi",0.374,0,0,0,0,0,0,0,NA
"Were Ilu",0.508,0,0,0,0,0,0,0,NA
"Werei Leke",0.045,0,0,0,0,0,0,0,NA
"West Belesa",0.267,0,0,0,0,0,0,0,NA
"West Esite",0.338,0,0,0,0,0,0,0,NA
"West Imi",0.351,0,0,0,0,0,0,0,NA
"Wilbareg",0.308,0,0,0,0,0,0,0,NA
"Wondo-Genet",0.222,0,0,0,0,0,0,0,NA
"Wonosho",0.24,0,0,0,0,0,0,0,NA
"Worebabu",0.506,0,0,0,0,0,0,0,NA
"Wuchale",0.435,0,0,0,0,0,0,0,NA
"Yabelo",0.736,0,0,0,0,0,0,0,NA
"Yalo",0.163,0,0,0,0,0,0,0,NA
"Yama Logi Welel",0.303,7498,6624,8339,1716,7307,7690,383,4.48
"Yaso",0.332,4393,3806,5125,1319,4234,4555,321,4.11
"Yaya Gulele",0.433,0,0,0,0,0,0,0,NA
"Yayu",0.304,7890,7069,8848,1779,7688,8093,405,4.39
"Yeka",0.346,0,0,0,0,0,0,0,NA
"Yeki",0.299,15755,13923,17646,3723,15314,16202,888,4.19
"Yem",0.369,7305,6520,8050,1530,7120,7492,372,4.11
"Yilmana Densa",0.31,0,0,0,0,0,0,0,NA
"Yirgachefe",0.266,1902,1540,2266,726,1805,2002,197,3.69
"Yubdo",0.275,5437,4826,6051,1225,5310,5565,255,4.8
"Zala",0.367,18308,16497,20188,3691,17845,18774,929,3.97
"Ziquala",0.339,0,0,0,0,0,0,0,NA
"Ziway Dugda",0.326,0,0,0,0,0,0,0,NA
"Total",0.382,3394817,3082784,3675161,592377,3189991,3586414,396423,1.49
